Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Rootborn Defenses",3,"Instant",W,"mm3","21",common,w,Not Owned,Non-foil,false,,,"","",63363
"Return to Dust",4,"Instant",W,"khc","32",uncommon,w,Not Owned,Non-foil,false,,,"","",87969
"Launch the Fleet",1,"Sorcery",W,"jou","15",rare,w,Not Owned,Non-foil,false,,,"","",52206
"Martial Coup",2,"Sorcery",W,"con","11",rare,w,Not Owned,Non-foil,false,,,"","",31731
"Battle Screech",4,"Sorcery",W,"mh1","4",uncommon,w,Not Owned,Non-foil,false,,,"","",72380
"Wrath of God",4,"Sorcery",W,"2xm","39",rare,w,Owned,Non-foil,false,,,"","",82112
"Ethereal Armor",1,"Enchantment - Aura",W,"q06","2",common,w,Not Owned,Non-foil,false,,,"","",
"Soul Snare",1,"Enchantment",W,"c21","104",uncommon,w,Not Owned,Non-foil,false,,,"","",89309
"All That Glitters",2,"Enchantment - Aura",W,"eld","2",uncommon,w,Not Owned,Non-foil,false,,,"","",78090
"Conviction",2,"Enchantment - Aura",W,"mb1","61",common,w,Not Owned,Non-foil,false,,,"","",
"Intangible Virtue",2,"Enchantment",W,"ema","15",uncommon,w,Not Owned,Non-foil,false,,,"","",60725
"Seal of Cleansing",2,"Enchantment",W,"mh2","264",uncommon,w,Not Owned,Non-foil,false,,,"","",90951
"Astral Drift",3,"Enchantment",W,"c20","76",rare,w,Not Owned,Non-foil,false,,,"","",
"Gift of Immortality",3,"Enchantment - Aura",W,"ths","14",rare,w,Not Owned,Non-foil,false,,,"","",50374
"Oblivion Ring",3,"Enchantment",W,"lrw","34",common,w,Not Owned,Non-foil,false,,,"","",28229
"Shielded by Faith",3,"Enchantment - Aura",W,"e02","4",rare,w,Not Owned,Non-foil,false,,,"","",
"Cast Out",4,"Enchantment",W,"c20","79",uncommon,w,Not Owned,Non-foil,false,,,"","",
"Sage's Reverie",4,"Enchantment - Aura",W,"frf","23",uncommon,w,Not Owned,Non-foil,false,,,"","",55510
"Battlefield Thaumaturge",2,"Creature - Human Wizard",U,"jou","31",rare,u,Not Owned,Non-foil,false,,,"","",51974
"Esior, Wardwing Familiar",2,"Legendary Creature - Bird",U,"cmr","67",uncommon,u,Not Owned,Non-foil,false,,,"partner","",84916
"Ghostly Pilferer",2,"Creature - Spirit Rogue",U,"m21","52",rare,u,Not Owned,Non-foil,false,,,"","",81331
"Ledger Shredder",2,"Creature - Bird Advisor",U,"snc","46",rare,u,Not Owned,Non-foil,false,,,"","",98311
"The Reality Chip",2,"Legendary Artifact Creature - Equipment Jellyfish",U,"neo","74",rare,u,Not Owned,Non-foil,false,,,"","",97068
"Nimble Obstructionist",3,"Creature - Bird Wizard",U,"hou","40",rare,u,Not Owned,Non-foil,false,,,"","",64564
"Archmage Emeritus",4,"Creature - Human Wizard",U,"stx","37",rare,u,Not Owned,Non-foil,false,,,"","",88551
"Curiosity Crafter",4,"Creature - Bird Wizard",U,"c21","24",rare,u,Not Owned,Non-foil,false,,,"","",89791
"Siani, Eye of the Storm",4,"Legendary Creature - Djinn Monk",U,"cmr","95",uncommon,u,Not Owned,Non-foil,false,,,"partner","",84972
"Talrand, Sky Summoner",4,"Legendary Creature - Merfolk Wizard",U,"tsr","318",special,u,Not Owned,Non-foil,false,,,"","",87013
"Sage of the Falls",5,"Creature - Merfolk Wizard",U,"eld","63",uncommon,u,Not Owned,Non-foil,false,,,"","",78238
"Eligeth, Crossroads Augur",6,"Legendary Creature - Sphinx",U,"cmr","66",rare,u,Not Owned,Non-foil,false,,,"partner","",84914
"Shimmer Dragon",6,"Creature - Dragon",U,"eld","317",rare,u,Not Owned,Non-foil,false,,,"","",78694
"Octavia, Living Thesis",10,"Legendary Creature - Elemental Octopus",U,"c21","29",rare,u,Not Owned,Non-foil,false,,,"","",89801
"Brainstorm",1,"Instant",U,"c21","115",common,u,Not Owned,Non-foil,false,,,"","",89331
"March of Swirling Mist",1,"Instant",U,"neo","61",rare,u,Not Owned,Non-foil,false,,,"","",97040
"Opt",1,"Instant",U,"sta","19",uncommon,u,Not Owned,Non-foil,false,,,"","",89095
"Otherworldly Gaze",1,"Instant",U,"mid","67",common,u,Not Owned,Non-foil,false,,,"","",93076
"Censor",2,"Instant",U,"akh","46",uncommon,u,Not Owned,Non-foil,false,,,"","",63694
"Counterspell",2,"Instant",U,"sld","175",rare,u,Not Owned,Non-foil,false,,,"","",
"Refocus",2,"Instant",U,"frf","47",common,u,Not Owned,Non-foil,false,,,"","",55574
"Think Twice",2,"Instant",U,"tsp","86",common,u,Not Owned,Non-foil,false,,,"","",25419
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Not Owned,Non-foil,false,,,"","",12615
"Neutralize",3,"Instant",U,"iko","59",uncommon,u,Not Owned,Non-foil,false,,,"","",80127
"Chemister's Insight",4,"Instant",U,"c20","108",uncommon,u,Not Owned,Non-foil,false,,,"","",
"Hieroglyphic Illumination",4,"Instant",U,"c20","112",common,u,Not Owned,Non-foil,false,,,"","",
"Memory Deluge",4,"Instant",U,"mid","62",rare,u,Not Owned,Non-foil,false,,,"","",93064
"Spell Swindle",5,"Instant",U,"plist","418",rare,u,Not Owned,Non-foil,false,,,"","",
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,u,Not Owned,Non-foil,false,,,"","",81375
"Dig Through Time",8,"Instant",U,"uma","50",rare,u,Not Owned,Non-foil,false,,,"","",70173
"Artful Dodge",1,"Sorcery",U,"dka","27",common,u,Not Owned,Non-foil,false,,,"","",43403
"Distortion Strike",1,"Sorcery",U,"roe","60",common,u,Not Owned,Non-foil,false,,,"","",36732
"Ponder",1,"Sorcery",U,"m10","68",common,u,Not Owned,Non-foil,false,,,"","",32923
"Preordain",1,"Sorcery",U,"cmr","84",common,u,Not Owned,Non-foil,false,,,"","",84950
"Slip Through Space",1,"Sorcery",U,"phed","41",common,u,Not Owned,Non-foil,false,,,"","",
"See the Truth",2,"Sorcery",U,"m21","69",rare,u,Not Owned,Non-foil,false,,,"","",81365
"Windfall",3,"Sorcery",U,"cm2","55",uncommon,u,Not Owned,Non-foil,false,,,"","",
"Deep Analysis",4,"Sorcery",U,"tor","36",common,u,Not Owned,Non-foil,false,,,"","",17135
"Treasure Cruise",8,"Sorcery",U,"uma","79",common,u,Not Owned,Non-foil,false,,,"","",70231
"Aether Spellbomb",1,"Artifact",U,"mma","196",common,u,Not Owned,Non-foil,false,,,"","",48916
"Aqueous Form",1,"Enchantment - Aura",U,"ths","39",common,u,Not Owned,Non-foil,false,,,"","",50456
"Curiosity",1,"Enchantment - Aura",U,"a25","52",uncommon,u,Not Owned,Non-foil,false,,,"","",67018
"Seal of Removal",1,"Enchantment",U,"mh2","269",uncommon,u,Not Owned,Non-foil,false,,,"","",90961
"Ophidian Eye",3,"Enchantment - Aura",U,"tsp","70",common,u,Not Owned,Non-foil,false,,,"","",25395
"Retreat to Coralhelm",3,"Enchantment",U,"bfz","82",uncommon,u,Not Owned,Non-foil,false,,,"","",58729
"Trail of Evidence",3,"Enchantment",U,"soi","93",uncommon,u,Not Owned,Non-foil,false,,,"","",60286
"Kindred Discovery",5,"Enchantment",U,"plist","312",rare,u,Not Owned,Non-foil,false,,,"","",
"Rograkh, Son of Rohgahh",0,"Legendary Creature - Kobold Warrior",R,"cmr","197",uncommon,r,Not Owned,Non-foil,false,,,"partner","",85176
"Akroan Crusader",1,"Creature - Human Soldier",R,"uma","121",common,r,Not Owned,Non-foil,false,,,"","",70315
"Harmonic Prodigy",2,"Creature - Human Wizard",R,"mh2","132",rare,r,Not Owned,Non-foil,false,,,"","",90641
"Kediss, Emberclaw Familiar",2,"Legendary Creature - Elemental Lizard",R,"cmr","188",uncommon,r,Not Owned,Non-foil,false,,,"partner","",85158
"Smoldering Egg",2,"Creature - Dragon Egg",R,"mid","159",rare,r,Not Owned,Non-foil,false,,,"","",93292
"Young Pyromancer",2,"Creature - Human Shaman",R,"jmp","372",uncommon,r,Not Owned,Non-foil,false,,,"","",
"Anax, Hardened in the Forge",3,"Legendary Enchantment Creature - Demigod",R,"thb","125",uncommon,r,Not Owned,Non-foil,false,,,"","",79374
"Birgi, God of Storytelling",3,"Legendary Creature - God",R,"khm","123",rare,r,Not Owned,Non-foil,false,,,"","",87579
"Dualcaster Mage",3,"Creature - Human Wizard",R,"c14","34",rare,r,Not Owned,Non-foil,false,,,"","",55101
"Goblin Rabblemaster",3,"Creature - Goblin Warrior",R,"m15","145",rare,r,Not Owned,Non-foil,false,,,"","",53500
"Krenko, Tin Street Kingpin",3,"Legendary Creature - Goblin",R,"war","137",rare,r,Not Owned,Non-foil,false,,,"","",71880
"Legion Warboss",3,"Creature - Goblin Soldier",R,"grn","109",rare,r,Not Owned,Non-foil,false,,,"","",69591
"Pashalik Mons",3,"Legendary Creature - Goblin Warrior",R,"mh1","138",rare,r,Not Owned,Non-foil,false,,,"","",72648
"Professional Face-Breaker",3,"Creature - Human Warrior",R,"snc","116",rare,r,Not Owned,Non-foil,false,,,"","",98451
"Storm-Kiln Artist",4,"Creature - Dwarf Shaman",R,"stx","115",uncommon,r,Not Owned,Non-foil,false,,,"","",88707
"Zada, Hedron Grinder",4,"Legendary Creature - Goblin Ally",R,"a25","156",uncommon,r,Not Owned,Non-foil,false,,,"","",67226
"Alena, Kessig Trapper",5,"Legendary Creature - Human Scout",R,"cmr","160",uncommon,r,Not Owned,Non-foil,false,,,"partner","",85102
"Backdraft Hellkite",5,"Creature - Dragon",R,"c19","23",rare,r,Not Owned,Non-foil,false,,,"","",77100
"Mirrorwing Dragon",5,"Creature - Dragon",R,"emn","136",mythic,r,Not Owned,Non-foil,false,,,"","",61226
"Expedite",1,"Instant",R,"bbd","177",common,r,Not Owned,Non-foil,false,,,"","",
"Lightning Bolt",1,"Instant",R,"2x2","117",uncommon,r,Not Owned,Non-foil,false,,,"","",101718
"Titan's Strength",1,"Instant",R,"ori","166",common,r,Not Owned,Non-foil,false,,,"","",57762
"Abrade",2,"Instant",R,"2xm","114",common,r,Not Owned,Non-foil,false,,,"","",82262
"Comet Storm",2,"Instant",R,"c20","148",mythic,r,Not Owned,Non-foil,false,,,"","",
"Fall of the Hammer",2,"Instant",R,"c15","154",common,r,Not Owned,Non-foil,false,,,"","",
"Fry",2,"Instant",R,"m20","140",uncommon,r,Not Owned,Non-foil,false,,,"","",73179
"Increasing Vengeance",2,"Instant",R,"c19","147",rare,r,Not Owned,Non-foil,false,,,"","",77408
"Punishing Fire",2,"Instant",R,"ddg","66",uncommon,r,Not Owned,Non-foil,false,,,"","",40344
"Thrill of Possibility",2,"Instant",R,"thb","159",common,r,Not Owned,Non-foil,false,,,"","",79442
"Unleash Fury",2,"Instant",R,"m21","170",uncommon,r,Not Owned,Non-foil,false,,,"","",81567
"Electric Revelation",3,"Instant",R,"mid","135",common,r,Not Owned,Non-foil,false,,,"","",93236
"Soul Sear",3,"Instant",R,"m21","160",uncommon,r,Not Owned,Non-foil,false,,,"","",81547
"Big Score",4,"Instant",R,"snc","102",common,r,Not Owned,Non-foil,false,,,"","",98423
"Faithless Looting",1,"Sorcery",R,"c21","168",common,r,Not Owned,Non-foil,false,,,"","",89437
"Fireball",1,"Sorcery",R,"m10","136",uncommon,r,Not Owned,Non-foil,false,,,"","",33043
"Crackle with Power",2,"Sorcery",R,"stx","95",mythic,r,Not Owned,Non-foil,false,,,"","",88667
"Dragon Fodder",2,"Sorcery",R,"ddg","65",common,r,Not Owned,Non-foil,false,,,"","",40154
"Twinflame",2,"Sorcery",R,"jou","115",rare,r,Not Owned,Non-foil,false,,,"","",52240
"Jeska's Will",3,"Sorcery",R,"cmr","187",rare,r,Not Owned,Non-foil,false,,,"","",85156
"Seize the Spoils",3,"Sorcery",R,"khm","149",common,r,Not Owned,Non-foil,false,,,"","",87633
"Change of Fortune",4,"Sorcery",R,"vow","150",rare,r,Not Owned,Non-foil,false,,,"","",94638
"Ignite the Future",4,"Sorcery",R,"clb","797",rare,r,Not Owned,Non-foil,false,,,"","",
"Mizzix's Mastery",4,"Sorcery",R,"c15","29",rare,r,Not Owned,Non-foil,false,,,"","",
"Past in Flames",4,"Sorcery",R,"isd","155",mythic,r,Not Owned,Non-foil,false,,,"","",42712
"Mana Geyser",5,"Sorcery",R,"c21","176",common,r,Not Owned,Non-foil,false,,,"","",89453
"Impact Tremors",2,"Enchantment",R,"dtk","140",common,r,Not Owned,Non-foil,false,,,"","",56250
"Tectonic Reformation",2,"Enchantment",R,"mh1","149",rare,r,Not Owned,Non-foil,false,,,"","",72670
"Containment Construct",2,"Artifact Creature - Construct",,"neo","243",uncommon,c,Not Owned,Non-foil,false,,,"","",97436
"Ornithopter of Paradise",2,"Artifact Creature - Thopter",,"mh2","232",common,c,Not Owned,Non-foil,false,,,"","",90845
"Reflective Golem",3,"Artifact Creature - Golem",,"stx","257",uncommon,c,Not Owned,Non-foil,false,,,"","",89021
"Psychosis Crawler",5,"Artifact Creature - Phyrexian Horror",,"cn2","215",rare,c,Not Owned,Non-foil,false,,,"","",
"Arcane Signet",2,"Artifact",,"c21","234",common,c,Not Owned,Non-foil,false,,,"","",89573
"Fellwar Stone",2,"Artifact",,"afc","206",uncommon,c,Not Owned,Non-foil,false,,,"","",
"Mind Stone",2,"Artifact",,"afc","211",uncommon,c,Not Owned,Non-foil,false,,,"","",
"Commander's Sphere",3,"Artifact",,"afc","203",common,c,Not Owned,Non-foil,false,,,"","",
"Raugrin Crystal",3,"Artifact",WUR,"iko","238",uncommon,Colorless,Not Owned,Non-foil,false,,,"","",80485
"Azorius Charm",2,"Instant",WU,"rtr","145",uncommon,m,Not Owned,Non-foil,false,,,"","",46421
"Battlewise Hoplite",2,"Creature - Human Soldier",UW,"ths","189",uncommon,m,Not Owned,Non-foil,false,,,"","",50534
"Faithful Mending",2,"Instant",UW,"mid","221",uncommon,m,Not Owned,Non-foil,false,,,"","",93444
"Hindering Light",2,"Instant",UW,"ala","173",common,m,Not Owned,Non-foil,false,,,"","",31287
"Skycat Sovereign",2,"Creature - Elemental Cat",UW,"iko","207",rare,m,Not Owned,Non-foil,false,,,"","",80423
"Staggering Insight",2,"Enchantment - Aura",UW,"thb","228",uncommon,m,Not Owned,Non-foil,false,,,"","",79580
"Absorb",3,"Instant",UW,"rna","151",rare,m,Not Owned,Non-foil,false,,,"","",71302
"Ephara's Enlightenment",3,"Enchantment - Aura",UW,"bng","146",uncommon,m,Not Owned,Non-foil,false,,,"","",51859
"Reflector Mage",3,"Creature - Human Wizard",UW,"ogw","157",uncommon,m,Not Owned,Non-foil,false,,,"","",59587
"Steel of the Godhead",3,"Enchantment - Aura",UW,"ddi","30",common,m,Not Owned,Non-foil,false,,,"","",43670
"Tameshi, Reality Architect",3,"Legendary Creature - Moonfolk Wizard",UW,"neo","82",rare,m,Not Owned,Non-foil,false,,,"core","",97084
"Aven Wind Guide",4,"Creature - Bird Warrior",UW,"akh","195",uncommon,m,Not Owned,Non-foil,false,,,"","",63992
"Ishai, Ojutai Dragonspeaker",4,"Legendary Creature - Bird Monk",UW,"cm2","12",mythic,m,Not Owned,Non-foil,false,,,"partner","",
"Cloudblazer",5,"Creature - Human Scout",WU,"kld","176",uncommon,m,Not Owned,Non-foil,false,,,"","",62035
"Bruna, Light of Alabaster",6,"Legendary Creature - Angel",UW,"c18","170",mythic,m,Not Owned,Non-foil,false,,,"core","",
"Dream Trawler",6,"Creature - Sphinx",UW,"thb","214",rare,m,Not Owned,Non-foil,false,,,"","",79552
"Archon of the Triumvirate",7,"Creature - Archon",UW,"gk2","7",rare,m,Not Owned,Non-foil,false,,,"","",
"Arcane Infusion",2,"Instant",RU,"mid","210",uncommon,m,Not Owned,Non-foil,false,,,"","",93416
"Beamsplitter Mage",2,"Creature - Vedalken Wizard",RU,"grn","155",uncommon,m,Not Owned,Non-foil,false,,,"","",69683
"Goblin Electromancer",2,"Creature - Goblin Wizard",RU,"grn","174",common,m,Not Owned,Non-foil,false,,,"","",69721
"Izzet Charm",2,"Instant",RU,"rtr","172",uncommon,m,Not Owned,Non-foil,false,,,"","",46433
"Sprite Dragon",2,"Creature - Faerie Dragon",RU,"iko","211",uncommon,m,Not Owned,Non-foil,false,,,"","",80431
"Bloodwater Entity",3,"Creature - Elemental",RU,"hou","138",uncommon,m,Not Owned,Non-foil,false,,,"","",64760
"Counterflux",3,"Instant",RU,"c15","214",rare,m,Not Owned,Non-foil,false,,,"","",
"Ionize",3,"Instant",RU,"grn","179",rare,m,Not Owned,Non-foil,false,,,"","",69731
"Jori En, Ruin Diver",3,"Legendary Creature - Merfolk Wizard",UR,"dds","23",rare,m,Not Owned,Non-foil,false,,,"","",
"Lutri, the Spellchaser",3,"Legendary Creature - Elemental Otter",RU,"iko","227",rare,m,Not Owned,Non-foil,false,,,"","",80463
"Prismari Command",3,"Instant",UR,"stx","214",rare,m,Owned,Non-foil,false,,,"","",88935
"Rootha, Mercurial Artist",3,"Legendary Creature - Orc Shaman",RU,"stx","227",uncommon,m,Not Owned,Non-foil,false,,,"","",88961
"Galazeth Prismari",4,"Legendary Creature - Elder Dragon",UR,"stx","281",mythic,m,Not Owned,Non-foil,false,,,"core","",
"Mystic Retrieval",4,"Sorcery",RU,"c19","90",uncommon,m,Not Owned,Non-foil,false,,,"","",77294
"Kraum, Ludevic's Opus",5,"Legendary Creature - Zombie Horror",RU,"c16","34",rare,m,Not Owned,Non-foil,false,,,"partner","",
"The Locust God",6,"Legendary Creature - God",UR,"c20","219",mythic,m,Owned,Non-foil,false,,,"core","",
"Magma Opus",8,"Instant",RU,"stx","203",mythic,m,Not Owned,Non-foil,false,,,"","",88913
"Akiri, Line-Slinger",2,"Legendary Creature - Kor Soldier Ally",RW,"c16","26",rare,m,Not Owned,Non-foil,false,,,"partner","",
"Akroan Hoplite",2,"Creature - Human Soldier",RW,"cn2","197",uncommon,m,Not Owned,Non-foil,false,,,"","",
"Aurelia's Fury",2,"Instant",RW,"gtc","144",mythic,m,Not Owned,Non-foil,false,,,"","",47933
"Boros Charm",2,"Instant",RW,"c21","210",uncommon,m,Not Owned,Non-foil,false,,,"","",89521
"Lightning Helix",2,"Instant",WR,"sta","62",rare,m,Not Owned,Non-foil,false,,,"","",89181
"Rip Apart",2,"Sorcery",RW,"stx","225",uncommon,m,Not Owned,Non-foil,false,,,"","",88957
"Tenth District Legionnaire",2,"Creature - Human Soldier",RW,"war","222",uncommon,m,Not Owned,Non-foil,false,,,"","",72050
"Thrilling Discovery",2,"Sorcery",RW,"stx","243",common,m,Not Owned,Non-foil,false,,,"","",88993
"Anax and Cymede",3,"Legendary Creature - Human Soldier",RW,"ths","186",rare,m,Not Owned,Non-foil,false,,,"core","",50388
"Angelfire Ignition",3,"Sorcery",RW,"mid","209",rare,m,Not Owned,Non-foil,false,,,"","",93414
"Deafening Clarion",3,"Sorcery",RW,"grn","165",rare,m,Not Owned,Non-foil,false,,,"","",69703
"Feather, the Redeemed",3,"Legendary Creature - Angel",WR,"war","197",rare,m,Not Owned,Non-foil,false,,,"core","",72000
"Reconstruct History",4,"Sorcery",RW,"stx","222",uncommon,m,Not Owned,Non-foil,false,,,"","",88951
"Adult Gold Dragon",5,"Creature - Dragon",RW,"afr","297",rare,m,Not Owned,Non-foil,false,,,"","",
"Blaze Commando",5,"Creature - Minotaur Soldier",RW,"dgm","56",uncommon,m,Not Owned,Non-foil,false,,,"","",48440
"Lorehold Command",5,"Instant",RW,"stx","199",rare,m,Not Owned,Non-foil,false,,,"","",88905
"Velomachus Lorehold",7,"Legendary Creature - Elder Dragon",WR,"stx","283",mythic,m,Owned,Non-foil,false,,,"","",
"Jeskai Ascendancy",3,"Enchantment",RUW,"2x2","231",rare,m,Not Owned,Non-foil,false,,,"","",101946
"Jeskai Charm",3,"Instant",RUW,"ktk","181",uncommon,m,Not Owned,Non-foil,false,,,"","",54130
"Mantis Rider",3,"Creature - Human Monk",WUR,"ktk","184",rare,m,Owned,Non-foil,false,,,"","",54434
"Shu Yun, the Silent Tempest",3,"Legendary Creature - Human Monk",RUW,"frf","52",rare,m,Not Owned,Non-foil,false,,,"core","",55342
"Brallin, Skyshark Rider",4,"Legendary Creature - Human Shaman",WUR,"c20","4",mythic,Multicolored,Not Owned,Non-foil,false,,,"core","Shabraz, the Skyshark is free with this pick",80731
"Gnostro, Voice of the Crags",4,"Legendary Creature - Chimera",RUW,"cmr","276",rare,m,Not Owned,Non-foil,false,,,"core","",85334
"Hinata, Dawn-Crowned",4,"Legendary Creature - Kirin Spirit",WUR,"neo","398",rare,m,Owned,Non-foil,false,,,"core","",
"Kykar, Wind's Fury",4,"Legendary Creature - Bird Wizard",RUW,"m20","212",mythic,m,Not Owned,Non-foil,false,,,"core","",73323
"Whirlwind of Thought",4,"Enchantment",RUW,"iko","215",rare,m,Not Owned,Non-foil,false,,,"","",80439
"Akim, the Soaring Wind",5,"Legendary Creature - Bird Dinosaur",WUR,"c20","6",mythic,m,Not Owned,Non-foil,false,,,"core","",80735
"Elsha of the Infinite",5,"Legendary Creature - Djinn Monk",RUW,"c19","40",mythic,m,Not Owned,Non-foil,false,,,"core","",77134
"Gavi, Nest Warden",5,"Legendary Creature - Human Shaman",RUW,"oc20","7",mythic,m,Not Owned,Non-foil,false,,,"core","",
"Sage of the Inward Eye",5,"Creature - Djinn Wizard",RUW,"ktk","195",rare,m,Not Owned,Non-foil,false,,,"","",54184
"Sevinne, the Chronoclasm",5,"Legendary Creature - Human Wizard",RUW,"c19","49",mythic,m,Not Owned,Non-foil,false,,,"core","",77152
"Warden of the Eye",5,"Creature - Djinn Wizard",RUW,"ktk","212",uncommon,m,Not Owned,Non-foil,false,,,"","",54052
"Numot, the Devastator",6,"Legendary Creature - Dragon",RUW,"ocmd","215",rare,m,Not Owned,Non-foil,false,,,"","",
"Inspired Ultimatum",7,"Sorcery",RUW,"iko","191",rare,m,Not Owned,Non-foil,false,,,"","",80391
"Azorius Guildgate",0,"Land - Gate",UW,"c13","275",common,l,Not Owned,Non-foil,false,,,"","",51248
"Deserted Beach",0,"Land",UW,"mid","260",rare,l,Not Owned,Non-foil,false,,,"","",93530
"Hallowed Fountain",0,"Land - Plains Island",WU,"rna","251",rare,l,Not Owned,Non-foil,false,,,"","",71542
"Sea of Clouds",0,"Land",UW,"bbd","84",rare,l,Not Owned,Non-foil,false,,,"","",68896
"Temple of Enlightenment",0,"Land",UW,"nec","180",rare,l,Not Owned,Non-foil,false,,,"","",
"Izzet Guildgate",0,"Land - Gate",RU,"dgm","151",common,l,Not Owned,Non-foil,false,,,"","",48376
"Steam Vents",0,"Land - Island Mountain",UR,"rtr","247",rare,l,Not Owned,Non-foil,false,,,"","",46805
"Stormcarved Coast",0,"Land",UR,"vow","265",rare,l,Not Owned,Non-foil,false,,,"","",94910
"Temple of Epiphany",0,"Land",RU,"m20","253",rare,l,Not Owned,Non-foil,false,,,"","",73405
"Training Center",0,"Land",RU,"phed","82",rare,l,Not Owned,Non-foil,false,,,"","",
"Boros Guildgate",0,"Land - Gate",RW,"c17","240",common,l,Not Owned,Non-foil,false,,,"","",
"Sacred Foundry",0,"Land - Mountain Plains",RW,"gtc","245",rare,l,Not Owned,Non-foil,false,,,"","",47815
"Spectator Seating",0,"Land",RW,"cmr","356",rare,l,Not Owned,Non-foil,false,,,"","",85494
"Sundown Pass",0,"Land",WR,"vow","266",rare,l,Not Owned,Non-foil,false,,,"","",94912
"Temple of Triumph",0,"Land",RW,"m21","256",rare,l,Not Owned,Non-foil,false,,,"","",81739
"Mystic Monastery",0,"Land",RUW,"c17","263",uncommon,l,Not Owned,Non-foil,false,,,"","",
"Raugrin Triome",0,"Land - Island Mountain Plains",RUW,"iko","251",rare,l,Not Owned,Non-foil,false,,,"","",80511
"Ash Barrens",0,"Land",,"ncc","386",uncommon,l,Not Owned,Non-foil,false,,,"","",
"Forgotten Cave",0,"Land",R,"cmr","483",common,l,Not Owned,Non-foil,false,,,"","",85776
"Lonely Sandbar",0,"Land",U,"mh1","242",uncommon,l,Not Owned,Non-foil,false,,,"","",72856
